COMMAND                               PID              USER   FD      TYPE         NODE NAME
systemd                                 1              root   49u     SOCK        20359 socket:[20359]
systemd                                 1              root   50u     SOCK        20488 socket:[20488]
systemd                                 1              root   51u     SOCK        21040 socket:[21040]
systemd                                 1              root   52u     SOCK        21050 socket:[21050]
systemd                                 1              root   53u     SOCK       221388 socket:[221388]
systemd                                 1              root   54u     SOCK        21062 socket:[21062]
systemd                                 1              root   55u     SOCK        21074 socket:[21074]
systemd                                 1              root   56u     SOCK        21076 socket:[21076]
systemd                                 1              root   57u     SOCK        21078 socket:[21078]
systemd                                 1              root   58u     SOCK        21357 socket:[21357]
systemd                                 1              root   59u     SOCK        22813 socket:[22813]
systemd                                 1              root   60r  unknown        12123 inotify
systemd                                 1              root   61u  unknown        12123 bpf-prog
systemd                                 1              root   62u  unknown        12123 bpf-prog
systemd                                 1              root   63u     SOCK        21149 socket:[21149]
systemd                                 1              root   64u     SOCK        21282 socket:[21282]
systemd                                 1              root   65u     SOCK        25170 socket:[25170]
systemd                                 1              root   66u     SOCK        39560 socket:[39560]
systemd                                 1              root   67u     SOCK        21529 socket:[21529]
systemd                                 1              root   68u     SOCK        21592 socket:[21592]
systemd                                 1              root   69u     SOCK       221558 socket:[221558]
systemd                                 1              root   70u     SOCK        21716 socket:[21716]
systemd                                 1              root   71u     SOCK        23578 socket:[23578]
systemd                                 1              root   72u      CHR          343 /dev/input/event5
systemd                                 1              root   73u     SOCK        24643 socket:[24643]
systemd                                 1              root   74u     SOCK        31121 socket:[31121]
systemd                                 1              root   75u     SOCK        24303 socket:[24303]
systemd                                 1              root   76u     SOCK        22316 socket:[22316]
systemd                                 1              root   77u     SOCK        31122 socket:[31122]
systemd                                 1              root   78u     SOCK        22486 socket:[22486]
systemd                                 1              root   79u     SOCK        22552 socket:[22552]
systemd                                 1              root   80u     SOCK        22588 socket:[22588]
systemd                                 1              root   81u     SOCK        22657 socket:[22657]
systemd                                 1              root   82u     SOCK        26654 socket:[26654]
systemd                                 1              root   83u     SOCK        32113 socket:[32113]
systemd                                 1              root   84u     SOCK        31516 socket:[31516]
systemd                                 1              root   85u     SOCK        32457 socket:[32457]
systemd                                 1              root   86u     SOCK       337343 socket:[337343]
systemd                                 1              root   87u     SOCK       338440 socket:[338440]
systemd                                 1              root   90u     SOCK        32227 socket:[32227]
systemd                                 1              root   92u     SOCK       221718 socket:[221718]
systemd                                 1              root   96u     SOCK        27474 socket:[27474]
systemd                                 1              root   97u     SOCK        27475 socket:[27475]
systemd                                 1              root   98u     SOCK        27596 socket:[27596]
systemd                                 1              root   99u     SOCK       204915 socket:[204915]
systemd                                 1              root  100u     SOCK       204917 socket:[204917]
systemd                                 1              root  111u  unknown        12123 bpf-prog
systemd                                 1              root  112u  unknown        12123 bpf-prog
systemd                                 1              root  113u     SOCK        28189 socket:[28189]
systemd                                 1              root  115u     SOCK        32348 socket:[32348]
systemd                                 1              root  116u     SOCK        32640 socket:[32640]
systemd                                 1              root  117u     SOCK        32641 socket:[32641]
systemd                                 1              root  119u      CHR          379 /dev/dri/card0
systemd                                 1              root  120u      CHR          150 /dev/input/event0
systemd                                 1              root  121u      CHR          151 /dev/input/event1
systemd                                 1              root  122u      CHR          172 /dev/input/event3
systemd                                 1              root  123u     SOCK        32359 socket:[32359]
systemd                                 1              root  124u     SOCK        32360 socket:[32360]
systemd                                 1              root  125u     SOCK        32459 socket:[32459]
systemd                                 1              root  126u     SOCK        32505 socket:[32505]
systemd                                 1              root  127u     SOCK        32556 socket:[32556]
systemd                                 1              root  129u     SOCK        32602 socket:[32602]
systemd                                 1              root  158u      CHR          398 /dev/input/event6
systemd                                 1              root  160u      CHR          152 /dev/input/event2
systemd                                 1              root  161u      CHR          331 /dev/input/event4
systemd                                 1              root  162u     SOCK        30158 socket:[30158]
systemd                                 1              root  163u     SOCK        33467 socket:[33467]
systemd                                 1              root  164u     SOCK        33534 socket:[33534]
systemd                                 1              root  165u     SOCK        33785 socket:[33785]
systemd                                 1              root  166u     SOCK        34178 socket:[34178]
systemd                                 1              root  167u     SOCK        33990 socket:[33990]
systemd                                 1              root  168u     SOCK        34405 socket:[34405]
systemd                                 1              root  169u     SOCK        34406 socket:[34406]
systemd                                 1              root  170u     SOCK        34509 socket:[34509]
systemd                                 1              root  171u     SOCK        34522 socket:[34522]
systemd                                 1              root  172u     SOCK        34523 socket:[34523]
systemd                                 1              root  173u     SOCK        34571 socket:[34571]
systemd                                 1              root  174u     SOCK        34624 socket:[34624]
systemd                                 1              root  175u     SOCK        34641 socket:[34641]
systemd                                 1              root  176u     SOCK        34642 socket:[34642]
systemd                                 1              root  177u     SOCK        34690 socket:[34690]
systemd                                 1              root  180u     SOCK        35063 socket:[35063]
systemd                                 1              root  181u     SOCK        35065 socket:[35065]
systemd                                 1              root  182u     SOCK        35398 socket:[35398]
systemd                                 1              root  184u     SOCK        35192 socket:[35192]
systemd                                 1              root  186u     SOCK        36052 socket:[36052]
systemd                                 1              root  187u     SOCK        35307 socket:[35307]
systemd                                 1              root  188u     SOCK        35308 socket:[35308]
systemd                                 1              root  189u     SOCK        35399 socket:[35399]
systemd                                 1              root  190u     SOCK        35492 socket:[35492]
systemd                                 1              root  191u     SOCK        35493 socket:[35493]
systemd                                 1              root  192u     SOCK        35539 socket:[35539]
systemd                                 1              root  193u     SOCK        35639 socket:[35639]
systemd                                 1              root  194u     SOCK        35640 socket:[35640]
systemd                                 1              root  205u     SOCK        36053 socket:[36053]
systemd                                 1              root  206u     SOCK        36003 socket:[36003]
systemd                                 1              root  207u     SOCK        36067 socket:[36067]
systemd                                 1              root  208u     SOCK        36111 socket:[36111]
systemd                                 1              root  209u     SOCK        36230 socket:[36230]
systemd                                 1              root  210u     SOCK        36231 socket:[36231]
systemd                                 1              root  211u     SOCK        36296 socket:[36296]
systemd                                 1              root  212u     SOCK        36349 socket:[36349]
systemd                                 1              root  219u     SOCK        36487 socket:[36487]
systemd                                 1              root  220u     SOCK        36489 socket:[36489]
kthreadd                                2              root  cwd       DIR         2 /
kthreadd                                2              root root       DIR         2 /
kthreadd                                2              root  exe   unknown             
rcu_gp                                  3              root  cwd       DIR         2 /
rcu_gp                                  3              root root       DIR         2 /
rcu_gp                                  3              root  exe   unknown             
rcu_par_gp                              4              root  cwd       DIR         2 /
rcu_par_gp                              4              root root       DIR         2 /
rcu_par_gp                              4              root  exe   unknown             
kworker/0:0H-kblockd                    6              root  cwd       DIR         2 /
kworker/0:0H-kblockd                    6              root root       DIR         2 /
kworker/0:0H-kblockd                    6              root  exe   unknown             
mm_percpu_wq                            9              root  cwd       DIR         2 /
mm_percpu_wq                            9              root root       DIR         2 /
mm_percpu_wq                            9              root  exe   unknown             
ksoftirqd/0                            10              root  cwd       DIR         2 /
ksoftirqd/0                            10              root root       DIR         2 /
ksoftirqd/0                            10              root  exe   unknown             
rcu_sched                              11              root  cwd       DIR         2 /
rcu_sched                              11              root root       DIR         2 /
rcu_sched                              11              root  exe   unknown             
migration/0                            12              root  cwd       DIR         2 /
migration/0                            12              root root       DIR         2 /
migration/0                            12              root  exe   unknown             
idle_inject/0                          13              root  cwd       DIR         2 /
idle_inject/0                          13              root root       DIR         2 /
idle_inject/0                          13              root  exe   unknown             
cpuhp/0                                14              root  cwd       DIR         2 /
cpuhp/0                                14              root root       DIR         2 /
cpuhp/0                                14              root  exe   unknown             
kdevtmpfs                              15              root  cwd       DIR         2 /
kdevtmpfs                              15              root root       DIR         2 /
kdevtmpfs                              15              root  exe   unknown             
netns                                  16              root  cwd       DIR         2 /
netns                                  16              root root       DIR         2 /
netns                                  16              root  exe   unknown             
rcu_tasks_kthre                        17              root  cwd       DIR         2 /
rcu_tasks_kthre                        17              root root       DIR         2 /
rcu_tasks_kthre                        17              root  exe   unknown             
rcu_tasks_rude_                        18              root  cwd       DIR         2 /
rcu_tasks_rude_                        18              root root       DIR         2 /
rcu_tasks_rude_                        18              root  exe   unknown             
rcu_tasks_trace                        19              root  cwd       DIR         2 /
rcu_tasks_trace                        19              root root       DIR         2 /
rcu_tasks_trace                        19              root  exe   unknown             
kauditd                                20              root  cwd       DIR         2 /
