COMMAND	PID	USER	FD	TYPE	NODE	NAME
systemd	1	root	53u	unix	221388	/run/cups/cups.sock
systemd	1	root	54u	unix	21062	/run/dbus/system_bus_socket
systemd	1	root	55u	unix	21074	/run/snapd.socket
systemd	1	root	56u	unix	21076	/run/snapd-snap.socket
systemd	1	root	57u	unix	21078	/run/uuidd/request
systemd	1	root	58u	unix	21357	type=STREAM
systemd	1	root	59u	unix	22813	/run/systemd/journal/stdout
systemd	1	root	60r	a_inode	12123	inotify
systemd	1	root	61u	a_inode	12123	bpf-prog
systemd	1	root	62u	a_inode	12123	bpf-prog
systemd	1	root	63u	unix	21149	/run/systemd/journal/stdout
systemd	1	root	64u	unix	21282	/run/systemd/journal/stdout
systemd	1	root	65u	unix	25170	/run/systemd/journal/stdout
systemd	1	root	66u	unix	39560	/run/systemd/journal/stdout
systemd	1	root	67u	unix	21529	/run/systemd/journal/stdout
systemd	1	root	68u	unix	21592	/run/systemd/journal/stdout
systemd	1	root	69u	unix	221558	/run/systemd/journal/stdout
systemd	1	root	70u	unix	21716	/run/systemd/journal/stdout
systemd	1	root	71u	unix	23578	/run/systemd/journal/stdout
systemd	1	root	72u	CHR	343	/dev/input/event5
systemd	1	root	73u	unix	24643	/run/systemd/journal/stdout
systemd	1	root	74u	unix	31121	/run/systemd/journal/stdout
systemd	1	root	75u	unix	24303	/run/systemd/journal/stdout
systemd	1	root	76u	unix	22316	/run/systemd/journal/stdout
systemd	1	root	77u	unix	31122	/run/systemd/journal/stdout
systemd	1	root	78u	unix	22486	/run/systemd/journal/stdout
systemd	1	root	79u	unix	22552	/run/systemd/journal/stdout
systemd	1	root	80u	unix	22588	/run/systemd/journal/stdout
systemd	1	root	81u	unix	22657	/run/systemd/journal/stdout
systemd	1	root	82u	unix	26654	/run/systemd/journal/stdout
systemd	1	root	83u	unix	32113	/run/systemd/journal/stdout
systemd	1	root	84u	unix	31516	/run/systemd/journal/stdout
systemd	1	root	85u	unix	32457	/run/systemd/journal/stdout
systemd	1	root	90u	unix	32227	/run/systemd/journal/stdout
systemd	1	root	92u	unix	221718	/run/systemd/journal/stdout
systemd	1	root	96u	unix	27474	type=DGRAM
systemd	1	root	97u	unix	27475	type=DGRAM
systemd	1	root	98u	unix	27596	/run/systemd/journal/stdout
systemd	1	root	99u	unix	204915	/run/systemd/journal/stdout
systemd	1	root	100u	unix	204917	/run/systemd/journal/stdout
systemd	1	root	111u	a_inode	12123	bpf-prog
systemd	1	root	112u	a_inode	12123	bpf-prog
systemd	1	root	113u	unix	28189	/run/systemd/journal/stdout
systemd	1	root	115u	unix	32348	/run/systemd/journal/stdout
systemd	1	root	116u	unix	32640	/run/systemd/journal/stdout
systemd	1	root	117u	unix	32641	/run/systemd/journal/stdout
systemd	1	root	119u	CHR	379	/dev/dri/card0
systemd	1	root	120u	CHR	150	/dev/input/event0
systemd	1	root	121u	CHR	151	/dev/input/event1
systemd	1	root	122u	CHR	172	/dev/input/event3
systemd	1	root	123u	unix	32359	/run/systemd/journal/stdout
systemd	1	root	124u	unix	32360	/run/systemd/journal/stdout
systemd	1	root	125u	unix	32459	/run/systemd/journal/stdout
systemd	1	root	126u	unix	32505	/run/systemd/journal/stdout
systemd	1	root	127u	unix	32556	/run/systemd/journal/stdout
systemd	1	root	129u	unix	32602	/run/systemd/journal/stdout
systemd	1	root	158u	CHR	398	/dev/input/event6
systemd	1	root	160u	CHR	152	/dev/input/event2
systemd	1	root	161u	CHR	331	/dev/input/event4
systemd	1	root	162u	unix	30158	/run/systemd/journal/stdout
systemd	1	root	163u	unix	33467	/run/systemd/journal/stdout
systemd	1	root	164u	unix	33534	/run/systemd/journal/stdout
systemd	1	root	165u	unix	33785	/run/systemd/journal/stdout
systemd	1	root	166u	unix	34178	/run/systemd/journal/stdout
systemd	1	root	167u	unix	33990	/run/systemd/journal/stdout
systemd	1	root	168u	unix	34405	/run/systemd/journal/stdout
systemd	1	root	169u	unix	34406	/run/systemd/journal/stdout
systemd	1	root	170u	unix	34509	/run/systemd/journal/stdout
systemd	1	root	171u	unix	34522	/run/systemd/journal/stdout
systemd	1	root	172u	unix	34523	/run/systemd/journal/stdout
systemd	1	root	173u	unix	34571	/run/systemd/journal/stdout
systemd	1	root	174u	unix	34624	/run/systemd/journal/stdout
systemd	1	root	175u	unix	34641	/run/systemd/journal/stdout
systemd	1	root	176u	unix	34642	/run/systemd/journal/stdout
systemd	1	root	177u	unix	34690	/run/systemd/journal/stdout
systemd	1	root	180u	unix	35063	/run/systemd/journal/stdout
systemd	1	root	181u	unix	35065	/run/systemd/journal/stdout
systemd	1	root	182u	unix	35398	/run/systemd/journal/stdout
systemd	1	root	184u	unix	35192	/run/systemd/journal/stdout
systemd	1	root	186u	unix	36052	/run/systemd/journal/stdout
systemd	1	root	187u	unix	35307	/run/systemd/journal/stdout
systemd	1	root	188u	unix	35308	/run/systemd/journal/stdout
systemd	1	root	189u	unix	35399	/run/systemd/journal/stdout
systemd	1	root	190u	unix	35492	/run/systemd/journal/stdout
systemd	1	root	191u	unix	35493	/run/systemd/journal/stdout
systemd	1	root	192u	unix	35539	/run/systemd/journal/stdout
systemd	1	root	193u	unix	35639	/run/systemd/journal/stdout
systemd	1	root	194u	unix	35640	/run/systemd/journal/stdout
systemd	1	root	205u	unix	36053	/run/systemd/journal/stdout
systemd	1	root	206u	unix	36003	/run/systemd/journal/stdout
systemd	1	root	207u	unix	36067	/run/systemd/journal/stdout
systemd	1	root	208u	unix	36111	/run/systemd/journal/stdout
systemd	1	root	209u	unix	36230	/run/systemd/journal/stdout
systemd	1	root	210u	unix	36231	/run/systemd/journal/stdout
systemd	1	root	211u	unix	36296	/run/systemd/journal/stdout
systemd	1	root	212u	unix	36349	/run/systemd/journal/stdout
systemd	1	root	219u	unix	36487	/run/systemd/journal/stdout
systemd	1	root	220u	unix	36489	/run/systemd/journal/stdout
kthreadd	2	root	cwd	DIR	2	/
kthreadd	2	root	rtd	DIR	2	/
kthreadd	2	root	txt	unknown		
